--------------
ALTER TABLE EMPREGADOS ADD COLUMN SITUACAO VARCHAR(1)
--------------

--------------
UPDATE
    EMPREGADOS
SET
    SITUACAO = 'A'
--------------

--------------
UPDATE
    EMPREGADOS
SET
    SITUACAO = 'D'
WHERE
       EMPREGADO_ID = 105
    or EMPREGADO_ID = 107
    or EMPREGADO_ID = 163
    or EMPREGADO_ID = 165
--------------

--------------
SELECT
    *
FROM
    EMPREGADOS
WHERE
    SITUACAO = 'A'
--------------

+--------------+---------------+-------------+------------+--------------------+------------------+------------+-------------------+--------------+------------+-----------------+----------+
| EMPREGADO_ID | PRIMEIRO_NOME | ULTIMO_NOME | EMAIL      | TELEFONE           | DATA_CONTRATACAO | FUNCAO_ID  | SALARIO           | PCT_COMISSAO | GERENTE_ID | DEPARTAMENTO_ID | SITUACAO |
+--------------+---------------+-------------+------------+--------------------+------------------+------------+-------------------+--------------+------------+-----------------+----------+
|          100 | Marcelo       | Costa       | MCOSTA     | 515.123.4567       | 2003-06-17       | AD_PRES    |             24000 |         NULL |       NULL |              90 | A        |
|          101 | Marcos        | Leal        | MLEAL      | 515.123.4568       | 2005-09-21       | AD_VP      |             17000 |         NULL |        100 |              90 | A        |
|          102 | Alexandre     | Lorenzo     | ALORENZO   | 515.123.4569       | 2001-01-13       | AD_VP      |             17000 |         NULL |        100 |              90 | A        |
|          103 | Mauro         | Andre       | MANDRE     | 590.423.4567       | 2006-01-03       | IT_PROG    |             10350 |         NULL |        102 |              60 | A        |
|          104 | Fulvio        | Bianco      | FBIANCO    | 590.423.4568       | 2007-05-21       | IT_PROG    | 6899.999999999999 |         NULL |        103 |              60 | A        |
|          106 | Valeria       | Pataballa   | VPATABALLA | 590.423.4560       | 2006-05-05       | IT_PROG    |              5520 |         NULL |        103 |              60 | A        |
|          108 | Nancy         | Marquez     | NMARQUEZ   | 515.124.4569       | 2002-08-17       | FI_MGR     |              2000 |         NULL |        101 |             100 | A        |
|          109 | Daniel        | Faviet      | DFAVIET    | 515.124.4169       | 2002-08-16       | FI_ACCOUNT |              9000 |         NULL |        108 |             100 | A        |
|          110 | John          | Chen        | JCHEN      | 515.124.4269       | 2005-09-28       | FI_ACCOUNT |              8200 |         NULL |        108 |             100 | A        |
|          111 | Ismael        | Sciarra     | ISCIARRA   | 515.124.4369       | 2005-09-30       | FI_ACCOUNT |              7700 |         NULL |        108 |             100 | A        |
|          112 | Jose          | Urman       | JURMAN     | 515.124.4469       | 2006-03-07       | FI_ACCOUNT |              7800 |         NULL |        108 |             100 | A        |
|          113 | Luis          | Popp        | LPOPP      | 515.124.4567       | 2007-07-07       | FI_ACCOUNT |              6900 |         NULL |        108 |             100 | A        |
|          114 | Denilson      | Razoul      | DRAZOUL    | 515.127.4561       | 2002-12-07       | PU_MAN     |             11000 |         NULL |        100 |              30 | A        |
|          115 | Alexandre     | Ferraz      | Ferraz     | 515.127.4562       | 2003-05-18       | PU_CLERK   |              3100 |         NULL |        114 |              30 | A        |
|          116 | Sheila        | Baida       | SBAIDA     | 515.127.4563       | 2005-12-24       | PU_CLERK   |              2900 |         NULL |        114 |              30 | A        |
|          117 | Sonia         | Tobias      | STOBIAS    | 515.127.4564       | 2005-07-24       | PU_CLERK   |              2800 |         NULL |        114 |              30 | A        |
|          118 | Gustavo       | Himuro      | GHIMURO    | 515.127.4565       | 2006-11-15       | PU_CLERK   |              2600 |         NULL |        114 |              30 | A        |
|          119 | Karen         | Colmenares  | KCOLMENA   | 515.127.4566       | 2007-08-10       | PU_CLERK   |              2500 |         NULL |        114 |              30 | A        |
|          120 | Mateus        | Weiss       | MWEISS     | 650.123.1234       | 2004-07-18       | ST_MAN     |              8000 |         NULL |        100 |              50 | A        |
|          121 | Adao          | Fripp       | AFRIPP     | 650.123.2234       | 2005-04-10       | ST_MAN     |              8200 |         NULL |        100 |              50 | A        |
|          122 | Paulo         | Kaufling    | PKAUFLIN   | 650.123.3234       | 2003-05-01       | ST_MAN     |              7900 |         NULL |        100 |              50 | A        |
|          123 | Sara          | Vollman     | SVOLLMAN   | 650.123.4234       | 2005-10-10       | ST_MAN     |              6500 |         NULL |        100 |              50 | A        |
